defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost
1,15,Structural,6/6/24,Component,Minor,Visual Inspection,245.47
2,6,Functional,4/26/24,Component,Minor,Visual Inspection,26.87
3,84,Structural,2/15/24,Internal,Minor,Automated Testing,835.81
4,10,Functional,3/28/24,Internal,Critical,Automated Testing,444.47
5,14,Cosmetic,4/26/24,Component,Minor,Manual Testing,823.64
6,17,Functional,5/11/24,Internal,Moderate,Visual Inspection,788.11
7,85,Cosmetic,5/23/24,Internal,Critical,Manual Testing,33.68
8,90,Structural,1/15/24,Internal,Moderate,Manual Testing,65.56
9,30,Structural,1/26/24,Component,Critical,Manual Testing,848.61
10,20,Structural,6/5/24,Component,Critical,Visual Inspection,478.48
11,45,Structural,4/28/24,Surface,Moderate,Automated Testing,217.96
12,86,Structural,2/25/24,Component,Minor,Manual Testing,485.02
13,87,Cosmetic,6/20/24,Component,Minor,Visual Inspection,714.63
14,72,Cosmetic,5/8/24,Surface,Critical,Manual Testing,603.94
15,74,Cosmetic,5/3/24,Component,Critical,Manual Testing,189.55
16,10,Functional,1/20/24,Component,Minor,Automated Testing,458.79
17,53,Structural,5/14/24,Internal,Minor,Visual Inspection,509.35
18,63,Cosmetic,5/21/24,Component,Critical,Visual Inspection,538.99
19,28,Functional,2/15/24,Internal,Critical,Manual Testing,34.93
20,81,Structural,5/25/24,Internal,Moderate,Manual Testing,557.11
21,67,Functional,5/3/24,Surface,Minor,Visual Inspection,831.43
22,6,Structural,3/6/24,Surface,Minor,Visual Inspection,504.9
23,33,Structural,5/6/24,Surface,Moderate,Automated Testing,349.23
24,15,Structural,2/23/24,Component,Critical,Visual Inspection,560.39
25,13,Cosmetic,2/19/24,Surface,Moderate,Manual Testing,629.71
26,39,Structural,6/15/24,Component,Moderate,Visual Inspection,975.44
27,60,Cosmetic,5/8/24,Component,Moderate,Manual Testing,737.54
28,42,Structural,1/2/24,Component,Critical,Manual Testing,592.87
29,3,Structural,1/13/24,Component,Moderate,Automated Testing,99.82
30,17,Functional,1/22/24,Surface,Critical,Visual Inspection,106.34
31,30,Structural,4/30/24,Surface,Critical,Automated Testing,352.58
32,25,Structural,3/29/24,Surface,Moderate,Visual Inspection,734.12
33,14,Cosmetic,5/15/24,Internal,Minor,Visual Inspection,953.54
34,58,Structural,6/19/24,Surface,Critical,Manual Testing,753.89
35,48,Functional,4/4/24,Component,Critical,Automated Testing,955.91
36,20,Structural,6/4/24,Surface,Critical,Automated Testing,776.91
37,68,Cosmetic,1/20/24,Internal,Critical,Manual Testing,607.96
38,51,Functional,6/8/24,Internal,Moderate,Automated Testing,107.7
39,12,Functional,6/25/24,Internal,Critical,Manual Testing,27.24
40,92,Cosmetic,1/6/24,Surface,Critical,Visual Inspection,370.83
41,63,Functional,3/11/24,Component,Minor,Manual Testing,526.08
