card,rarity,price,daily_change,daily_chg_pct,weekly_chg,weekly_chg_pct
Three Tree City,Rare,$ 20.35,$ 0.01,0%,$ 0.39,2%
"Ygra, Eater of All",Mythic,$ 14.95,$ -0.04,0%,$ -0.41,-3%
Innkeeper's Talent,Rare,$ 14.13,$ 0.15,1%,$ 0.49,4%
Caretaker's Talent,Rare,$ 12.98,$ -0.42,-3%,$ 0.20,2%
"Lumra, Bellow of the Woods",Mythic,$ 11.49,$ 0.00,0%,$ -0.19,-2%
"Beza, the Bounding Spring",Mythic,$ 11.24,$ -0.09,-1%,$ -1.41,-11%
"Maha, Its Feathers Night",Mythic,$ 10.72,$ 0.08,1%,$ -0.04,0%
Rottenmouth Viper,Mythic,$ 7.99,$ 0.01,0%,$ -0.11,-1%
Fountainport,Rare,$ 7.50,$ 0.20,3%,$ 1.25,20%
Dawn's Truce,Rare,$ 6.57,$ 0.37,6%,$ 0.44,7%
"Ral, Crackling Wit",Mythic,$ 6.33,$ -0.08,-1%,$ 0.06,1%
Emberheart Challenger,Rare,$ 5.80,$ 0.10,2%,$ 0.84,17%
Stormsplitter,Mythic,$ 4.99,$ -0.01,0%,$ 0.06,1%
Patchwork Banner,Uncommon,$ 4.82,$ 0.20,4%,$ 0.13,3%
Fabled Passage,Rare,$ 4.78,$ 0.01,0%,$ -0.08,-2%
Season of Gathering,Mythic,$ 4.71,$ 0.01,0%,$ -0.11,-2%
Artist's Talent,Rare,$ 4.61,$ 0.17,4%,$ 0.38,9%
Valley Floodcaller,Rare,$ 4.42,$ 0.00,0%,$ 1.49,51%
Into the Flood Maw,Uncommon,$ 4.10,$ 0.06,1%,$ 0.15,4%
Season of the Burrow,Mythic,$ 3.90,$ 0.00,0%,$ -0.07,-2%
Mockingbird,Rare,$ 3.89,$ 0.02,1%,$ -0.01,0%
Warren Warleader,Mythic,$ 3.65,$ 0.13,4%,$ 0.00,0%
Season of Weaving,Mythic,$ 3.51,$ -0.03,-1%,$ -0.07,-2%
"Dragonhawk, Fate's Tempest",Mythic,$ 3.45,$ 0.00,0%,$ 0.13,4%
"Kitsa, Otterball Elite",Mythic,$ 3.20,$ 0.00,0%,$ -0.09,-3%
The Infamous Cruelclaw,Mythic,$ 3.09,$ 0.00,0%,$ 0.06,2%
"Eluge, the Shoreless Sea",Mythic,$ 3.00,$ -0.12,-4%,$ -0.11,-4%
Scavenger's Talent,Rare,$ 2.92,$ -0.04,-1%,$ -0.10,-3%
Season of Loss,Mythic,$ 2.81,$ -0.03,-1%,$ -0.06,-2%
Heartfire Hero,Uncommon,$ 2.80,$ 0.00,0%,$ 0.07,3%
"Glarb, Calamity's Augur",Mythic,$ 2.73,$ 0.00,0%,$ 0.00,0%
Iridescent Vinelasher,Rare,$ 2.50,$ 0.00,0%,$ -0.28,-10%
Manifold Mouse,Rare,$ 2.42,$ -0.42,-15%,$ 0.54,29%
Stormchaser's Talent,Rare,$ 2.42,$ -0.37,-13%,$ 0.04,2%
Dour Port-Mage,Rare,$ 2.10,$ 0.02,1%,$ 0.16,8%
Valley Rotcaller,Rare,$ 2.03,$ 0.09,5%,$ 0.09,5%
"Helga, Skittish Seer",Mythic,$ 1.86,$ 0.01,1%,$ -0.02,-1%
Sunspine Lynx,Rare,$ 1.47,$ -0.02,-1%,$ 0.00,0%
"Camellia, the Seedmiser",Rare,$ 1.41,$ 0.02,1%,$ 0.12,9%
"Hugs, Grisly Guardian",Mythic,$ 1.40,$ 0.00,0%,$ 0.01,1%
"Zoraline, Cosmos Caller",Rare,$ 1.35,$ -0.02,-1%,$ -0.09,-6%
Valley Questcaller,Rare,$ 1.31,$ 0.01,1%,$ 0.00,0%
Valley Mightcaller,Rare,$ 1.15,$ 0.08,7%,$ 0.13,13%
Season of the Bold,Mythic,$ 1.10,$ 0.00,0%,$ -0.07,-6%
"Gev, Scaled Scorch",Rare,$ 1.10,$ 0.00,0%,$ -0.15,-12%
